Timestamp,Do you feel safe biking in Louisville?,What problems do you have with biking in Louisville currently?,What neighborhoods do you feel safe biking?,What neighborhoods do you NOT feel safe biking?,What intersection(s) could be improved?,"If you could fix one thing in Louisville specific to bike safety or infrastructure, what would it be?","If you could fix one thing in Louisville specific to bike safety or infrastructure, what would it be?"
9/28/2022 13:36:51,Yes,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic","Highlands, Smoketown, River Road - Waterfront, Old Louisville, Germantown",,,,Protected bike lanes! Paint on pavement doesn't protect a damn thing.
9/28/2022 13:37:59,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,Every single one. ,Traffic calming,More protected bike lanes separate from all road traffic.
9/28/2022 13:40:49,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,"Nearly all of them! I went on a 41 mile bike ride this morning through the South End, the Highlands, Clifton, Portland Shawnee, and Downtown, and there isn't a single intersection or even a single road that is bike friendly!",Protected bike lanes! Paint on pavement doesn't protect a damn thing.,Bikes should not share the same lane as cars. Bikes should have it's own protected or spaced out lane. Bikes should have a section on sidewalks and even widen sidewalks.
9/28/2022 13:45:31,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,"Every major intersection in Louisville should have protected cycling lanes, cycling and pedestrian walking lights that prioritize walking, then cycling and last car traffic. Taylorville Rd, Bardstown Rd, Hurstbourne and other main intersections are geared for car traffic. The major roads themselves should be for moving traffic around Louisville and not throughout. Anything that has direct access to businesses or houses should have separated lanes like Southern Parkway, should be narrow streets, lower speed limit signs, speed bumps in certain areas. ",More protected bike lanes separate from all road traffic.,"Connected trails, protected space on main roads"
9/28/2022 13:53:07,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","River Road - Waterfront, Old Louisville","Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, Clifton, South End, Germantown",,Bikes should not share the same lane as cars. Bikes should have it's own protected or spaced out lane. Bikes should have a section on sidewalks and even widen sidewalks.,More bike lanes on roads instead of parking. For example whoever changed bardstown rd clearly doesn’t live in this city or care about other forms of transportation. ie bicycles
9/28/2022 14:00:30,No,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,Too many,"Connected trails, protected space on main roads",Clear bike lanes on every road. We often get pissed off drivers coming dangerously close to us.
9/28/2022 14:06:12,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe",I do not feel safe biking in Louisville,"Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville",Eastern parkway & bardstown rd,More bike lanes on roads instead of parking. For example whoever changed bardstown rd clearly doesn’t live in this city or care about other forms of transportation. ie bicycles,We need a safer route to ride from the upper east and west end to the south end of town. Riding to beuchel or newberg or shively is impossible.
9/28/2022 14:09:27,No,Bike lanes are not protected or safe,"River Road - Waterfront, Clifton, Germantown","Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, South End, Old Louisville",,Clear bike lanes on every road. We often get pissed off drivers coming dangerously close to us.,"Better bike lanes and bike routes that connect disparate parts of the city. Often car-heavy, highway, etc barriers between neighbourhoods"
9/28/2022 14:09:42,Yes,"Bike lanes are not protected or safe, Limited connectivity","Highlands, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, Clifton, Old Louisville, Germantown","Smoketown, Shelby Park, River Road - Waterfront, South End",Oak St & Barrett Ave (all of Barrett & Lexington),We need a safer route to ride from the upper east and west end to the south end of town. Riding to beuchel or newberg or shively is impossible.,Protected bike lanes
9/28/2022 14:24:13,Yes,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Highlands, Smoketown, Shelby Park, Indiana - Jeffersonville, West End- Portland, Old Louisville, Germantown","Downtown, Indiana - New Albany, West End - Russell, River Road - Waterfront, Clifton, South End",,"Better bike lanes and bike routes that connect disparate parts of the city. Often car-heavy, highway, etc barriers between neighbourhoods","More greenways, dedicated bike lanes, bike lanes that don’t randomly end pushing bikes into traffic"
9/28/2022 14:25:05,Yes,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe","Smoketown, Shelby Park, Indiana - New Albany, Indiana - Jeffersonville, West End- Portland, Clifton, Germantown","Highlands, Downtown, West End - Russell, River Road - Waterfront, South End, Old Louisville","Eastern Parkway should have a protected bike lane, Bardstown road is atrocious, Poplar Level is terrible, and crossing Broadway is never enjoyable. ",Protected bike lanes,"Add speed bumps all over seneca park road, cherokee park, anywhere that cars are expected to drive where people bike, run, walk, etc. Add bike lanes! Protect them! Stop asking neighborhoods if they want them, because they'll always say no."
9/28/2022 14:33:33,Yes,"Car traffic is too fast / dangerous, Limited connectivity","Shelby Park, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Old Louisville, Germantown","Highlands, Downtown, Clifton, South End","All intersections with eastern parkway, Chestnut & Liberty/Jefferson, intersections with Breslin park","More greenways, dedicated bike lanes, bike lanes that don’t randomly end pushing bikes into traffic","more separated, protected bike lanes"
9/28/2022 14:37:48,Yes,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe","Highlands, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End- Portland, Old Louisville","River Road - Waterfront, South End","Eastern and Speed, ALL of river road, eastern is a death trap but doesn't HAVE to be, Poplar at Audubon","Add speed bumps all over seneca park road, cherokee park, anywhere that cars are expected to drive where people bike, run, walk, etc. Add bike lanes! Protect them! Stop asking neighborhoods if they want them, because they'll always say no.",More bike lanes
9/28/2022 14:40:36,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",,"Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville, I do not feel safe biking in Louisville",reconnect Preston at Burnett,"more separated, protected bike lanes",Concrete barrier protected bike lanes
9/28/2022 14:49:53,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity",,,,More bike lanes,protected/seperated from car traffic bikelines
9/28/2022 14:53:54,No,"Bike lanes are not protected or safe, Limited connectivity",River Road - Waterfront,"Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, Clifton, South End, Germantown, Old Louisville",remove legal right turns on red to improve pedestrian and cyclist safety,Concrete barrier protected bike lanes,
9/28/2022 14:54:10,Only with a large group,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Old Louisville, I do not feel safe biking in Louisville","Highlands, Smoketown, Shelby Park, Downtown, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown",,protected/seperated from car traffic bikelines,Commitment to creating protected bike lanes and bike paths. There should (at minimum) be a network of protected paths to get a biker throughout the inner-loop region of the city
9/28/2022 14:55:58,Yes,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Highlands, Smoketown, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End- Portland, River Road - Waterfront, Clifton, Germantown","West End - Russell, South End",,,
9/28/2022 14:58:05,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Smoketown, Shelby Park","Highlands, Downtown, River Road - Waterfront, Clifton, Germantown, Old Louisville",,Commitment to creating protected bike lanes and bike paths. There should (at minimum) be a network of protected paths to get a biker throughout the inner-loop region of the city,
9/28/2022 15:11:57,Yes,"Lights are too short, risk running red lights",Germantown,,,,
9/28/2022 15:13:20,Yes,"Lights are too short, risk running red lights","Highlands, Smoketown, Shelby Park, Downtown, River Road - Waterfront, Old Louisville, Germantown",,,,More protected lanes
9/28/2022 15:20:21,Only with a large group,"Lights are too short, risk running red lights, Bike lanes are not protected or safe, Limited connectivity","Highlands, Old Louisville",,,,
9/28/2022 15:28:03,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, Indiana - Jeffersonville, West End- Portland","Downtown, River Road - Waterfront, South End",Main-Story-Market ,More protected lanes,
9/28/2022 16:01:31,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, Indiana - Jeffersonville, West End- Portland, Germantown","Highlands, Shelby Park, Downtown, River Road - Waterfront, Clifton, South End, Old Louisville","• Goss & Spratt
• Baxter & Grinstead (Winter)
• Oak & Schiller
• Broadway & Baxter
• Baxter & Bardstown
• Brook & Breckinridge
• Grinstead & Lexington
• Lexington & Liberty
• 5-way @ Southern Pkwy & Woodlawn
• 5-way @ Southern & New Cut/Taylor Blvd ","Well … asking for one thing feels like ignoring the intersectionality of all the converging, systemic issues. But that said, I would like to see better connectivity between inside the Watterson and outside the Watterson. As it currently stands, I cannot easily use public transit or bicycles to travel to my family in the east end. Our current multi-modal transit system ignores our communities outside of the Watterson, which is a huge oversight.",
9/28/2022 16:37:04,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe",I do not feel safe biking in Louisville,,,"It’s complex, but driver education - expecting cyclists, giving a full lane/sharing the road, knowing how to drive in the presence of cyclists, etc",
9/28/2022 16:38:05,Yes,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, River Road - Waterfront, Old Louisville, Germantown","West End - Russell, Clifton, South End",,Protected bike lanes and better bike parking,
9/28/2022 17:07:17,Yes,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Smoketown, Old Louisville, Germantown","Highlands, Downtown, River Road - Waterfront, Clifton, South End","Grinstead and Lexington, all of Bardstown Rd south of Highland Ave",Speed bumps/bumps on main roads to slow drivers,
9/28/2022 17:12:34,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Highlands, Indiana - New Albany, Indiana - Jeffersonville, River Road - Waterfront, I do not feel safe biking in Louisville","Smoketown, Shelby Park, Downtown, West End - Russell, West End- Portland, Clifton, South End, Germantown, I do not feel safe biking in Louisville",Dedicated biking infrastructure like that seen in the Netherlands and Europe. ,Bike connection between the suburbs and downtown,
9/28/2022 17:17:52,Only with a large group,Bike lanes are not protected or safe,I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,,People being more conscientious of biker presence and not hating them/complaining bike lanes take up their parking. Ie: deer park on Norris,
9/28/2022 17:56:42,Yes,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End- Portland, Clifton, Germantown","Highlands, Smoketown, Shelby Park, River Road - Waterfront, Old Louisville",Baxter/Cherokee/Broadway (near goodfellas pizza),"Driver awareness. I noticed so many distracted or aggressive drivers on the road that even if there were ""protected lanes"", cyclists would be at risk.",
9/28/2022 17:58:57,Yes,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Highlands, Shelby Park, Indiana - New Albany, West End- Portland, Germantown","Highlands, Downtown, River Road - Waterfront, South End",,,
9/28/2022 18:22:47,Yes,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Germantown","Highlands, Smoketown, Shelby Park, Clifton, Germantown",,better bike lanes? and i guess more signs that say to watch out for cyclists,
9/28/2022 18:29:34,Only with a large group,Bike lanes are not protected or safe,,,,,
9/28/2022 19:08:20,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity",Germantown,"Shelby Park, Downtown, River Road - Waterfront, South End, Old Louisville","South end, 2nd st bridge, taylorsville and bardstown rds, ",Bike network connectivity (without sharrows),
9/28/2022 19:19:38,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Highlands, Indiana - New Albany, Indiana - Jeffersonville, I do not feel safe biking in Louisville","Shelby Park, Downtown, West End - Russell, West End- Portland, River Road - Waterfront, Germantown, Old Louisville, I do not feel safe biking in Louisville","Bardstown rd / waters on pkwy,",Make more protected bike lanes,
9/28/2022 19:23:28,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe",Indiana - New Albany,"Highlands, Smoketown, Shelby Park, Downtown, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville, I do not feel safe biking in Louisville","Lexington/Cannons, Frankfort/Stiltz, Lexington/Grinstead, Grinstead/Bardstown",Barrier protected bike lanes,
9/28/2022 19:25:23,Yes,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Highlands, Smoketown, Shelby Park, Indiana - Jeffersonville, Clifton, Germantown",,"Baxter and Liberty, Payne and Spring St",safer ways to cross the Watterson,
9/28/2022 19:25:44,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,"Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville",,Protected lanes! Shared lanes do not work. They are not respected or safe.,
9/28/2022 19:49:13,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Downtown, River Road - Waterfront, South End, Old Louisville",,,,
9/28/2022 19:53:48,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Smoketown, Shelby Park, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, Germantown","Downtown, West End- Portland, River Road - Waterfront, Old Louisville",,"Separated, proprected bike lanes + bike traffic lights",
9/28/2022 19:56:31,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,All of them for pedestrians and bikers. Eastern parkway and Preston / eastern parkway and Shelby ,Add protected bike lanes.,
9/28/2022 20:13:46,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,,,
9/28/2022 20:14:07,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,"Highlands, Downtown",,,
9/28/2022 20:14:48,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,"Downtown, River Road - Waterfront, I do not feel safe biking in Louisville",Second and main. ,Retro fit all of downtowns wide streets to have protected bike facilities,
9/28/2022 20:17:51,Yes,,"Smoketown, Downtown, River Road - Waterfront, Clifton, South End, Old Louisville, Germantown",Highlands,,,
9/28/2022 20:18:19,Yes,"Bike lanes are not protected or safe, Limited connectivity","Highlands, Smoketown, Shelby Park, Downtown, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, Old Louisville, Germantown",,,Cleaner bike lanes and more of them,
9/28/2022 20:18:23,,,,,,,
9/28/2022 20:20:04,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Indiana - Jeffersonville, Germantown","Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Old Louisville",,Develop a comprehensive bike connectivity plan for at least all areas inside the Watterson (ideally more but start with that),
9/28/2022 20:35:48,Yes,"Bike lanes are not protected or safe, Limited connectivity","Highlands, Smoketown, Downtown, West End - Russell, West End- Portland, Clifton, South End, Old Louisville, Germantown","Indiana - New Albany, Indiana - Jeffersonville, West End - Russell",Eastern parkway and Barrett ,Eastern parkway down to one lane with dedicated lanes.,
9/28/2022 20:39:29,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Old Louisville, Germantown",I do not feel safe biking in Louisville,All of them lol. Bardstown and eastern,More lanes!,
9/28/2022 20:48:26,No,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Smoketown, Shelby Park, Indiana - New Albany, Indiana - Jeffersonville, Germantown","Highlands, River Road - Waterfront, Old Louisville",Everything on Goss,More isolated bike/mobility infrastructure,
9/28/2022 21:27:37,Only with a large group,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Smoketown, Shelby Park, Downtown, West End - Russell, West End- Portland, River Road - Waterfront, Old Louisville, Germantown","Indiana - New Albany, Indiana - Jeffersonville, Clifton, South End",Poplar Level and Eastern ,Wider bikes lanes.,
9/28/2022 21:29:42,Yes,Car traffic is too fast / dangerous,"Highlands, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, Clifton, Germantown",,,Dedicated bike lane on every road,
9/28/2022 21:41:59,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, Indiana - Jeffersonville","West End- Portland, South End",,We need protected lanes and more non-car options not afterthoughts built into existing dated infrastructure,
9/28/2022 22:00:11,No,Bike lanes are not protected or safe,"Indiana - New Albany, Indiana - Jeffersonville, Clifton","Highlands, Shelby Park, Downtown, River Road - Waterfront","Grinstead and Lexington is a long wait, and frightening even with the walk signals.","Bike lanes between parallel parking and sidewalks, out of car traffic.",
9/28/2022 22:12:29,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Highlands, Germantown","Smoketown, Shelby Park, West End - Russell, West End- Portland",,,
9/28/2022 22:38:10,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Indiana - New Albany, I do not feel safe biking in Louisville","Highlands, Smoketown, Shelby Park, Downtown, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Germantown, Old Louisville",,Bike lanes and traffic calming devices,
9/28/2022 22:45:07,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,"Barret & Broadway, Lexington & Grinstead",Protected bike lanes,
9/28/2022 23:03:09,Only with a large group,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Highlands, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, Germantown","Downtown, West End- Portland, River Road - Waterfront, South End, Old Louisville",Bardstown and Edenside/Baringer,Connect things so it's actually possible to get around the city,
9/28/2022 23:19:41,No,Car traffic is too fast / dangerous,I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,,"I would get rid of aggressive, angry motorists who only see cyclists as a nuisance.",
9/29/2022 0:24:35,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity",I do not feel safe biking in Louisville,I do not feel safe biking in Louisville,"Hill, Oak, Main, Market, Preston","Protected Bike Lanes, network",
9/29/2022 1:26:42,Yes,Limited connectivity,"Smoketown, Shelby Park, Downtown, Indiana - New Albany, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, Old Louisville, Germantown","Highlands, South End",East Oak Street & East St. Catherine,Bike lane on river road,
9/29/2022 5:55:29,Yes,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Highlands, West End- Portland, River Road - Waterfront, Old Louisville, Germantown","Downtown, West End - Russell",,"More 2 ways in the city, fewer sharrows, more designated/protected lanes",
9/29/2022 6:59:02,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe",I do not feel safe biking in Louisville,"Downtown, South End, Old Louisville, I do not feel safe biking in Louisville",,,
9/29/2022 7:40:46,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe","Highlands, Smoketown, Germantown","Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Old Louisville, I do not feel safe biking in Louisville",Any and all downtown intersections ,More and more robust bike lanes,
